,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,379618,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379660,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379660,10,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,379660,639,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379661,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379729,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379729,689,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379765,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379765,829,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379774,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379866,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379866,156,6,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,379866,187,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379984,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379984,20,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,379984,135,10,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,379984,456,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380001,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380001,4,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
